,video_id,category,duration,made_for_kids
983,wUqsgsy_Xn8,People & Blogs,0:00:58,False
984,LSYC9Hh-8FA,People & Blogs,0:01:01,False
985,UlQv_wcKiPw,Entertainment,0:00:24,False
986,fr3aYXvjInU,Music,0:03:26,False
987,02u6Rtojc-4,People & Blogs,0:00:15,False
988,d2fF_aWIsfI,News & Politics,0:12:03,False
989,TV98Qtom_fs,Autos & Vehicles,0:00:28,False
990,CAy-gC8qWUw,Entertainment,0:00:19,False
991,U5-gUWqOL5o,People & Blogs,0:00:40,False
992,1ocCN1QSy5c,Entertainment,0:00:23,False
993,HUjTTbCwYr8,News & Politics,0:14:25,False
994,jDs2GBJP5wo,Howto & Style,0:00:28,False
995,rvdP1mG-6YI,People & Blogs,0:01:00,False
996,9I8EGG8Gj7s,Entertainment,0:00:59,False
997,jO1P7y3eEcU,People & Blogs,0:01:00,False
998,5l4hcVpe4dY,People & Blogs,0:00:47,False
999,XiaId2XNARM,Gaming,5:11:01,False
1000,01Ajsfjs5iU,Entertainment,0:00:39,False
1001,RqFZRIiduY4,Gaming,4:54:06,False
1002,qnN42FSYe6I,Entertainment,0:00:30,False
1003,f0cXJ6mJxGc,Entertainment,0:00:38,False
1004,HLok27_rr1Y,Entertainment,0:00:30,False
1005,G01g75YQOTc,Entertainment,0:01:00,False
1006,xHs8poyUiaE,People & Blogs,0:00:16,False
1007,o7aFyedFCxI,Entertainment,0:00:18,False
1008,uOulaq1GwT0,People & Blogs,0:00:42,False
1009,cldJ_u5BYFM,Entertainment,0:44:33,False
1010,ye7fE3wD5NI,Entertainment,0:00:59,False
1011,71m1CKP0HGY,Gaming,0:00:51,False
1012,3dF35pJNc9c,People & Blogs,0:00:11,False
1013,YnOYsMthMug,Music,0:00:29,False
1014,lG6ii5vd9HM,Comedy,0:00:47,False
1015,2v0ZJrkC2Yc,Entertainment,0:00:23,False
1016,zrFiAYyKDj4,People & Blogs,0:00:59,False
1017,6s13b4w8Tqo,People & Blogs,0:00:14,True
1018,BYpHfGtoR3I,Entertainment,0:00:33,False
1019,XylUaugl_a0,Entertainment,0:00:26,False
